date,location_lat,location_lon,daily_rainfall_mm,3_day_cumulative_rain,river_level_m,rate_of_rise,elevation_m,slope_degrees,distance_to_river_km,flood_occurred,flood_depth_m
10/9/2016,6.9738,80.90566,34,63.3,2.87,0.397,2.2,0.2,0.74,0,0
10/21/2016,6.9738,80.90566,7.6,18.9,2.68,0.207,2.2,0.2,0.74,0,0
11/16/2016,6.9738,80.90566,141.2,408.5,7.35,2.3,2.2,0.2,0.74,1,3.8
11/19/2016,6.9738,80.90566,0.3,1.2,1.91,-0.182,2.2,0.2,0.74,0,0
5/21/2017,6.9738,80.90566,2.1,14.3,2.39,-0.126,2.2,0.2,0.74,0,0
5/30/2017,6.9738,80.90566,4.5,13.2,2.3,0.05,2.2,0.2,0.74,0,0
11/4/2017,6.9738,80.90566,76.7,182.5,4.7,0.983,2.2,0.2,0.74,1,2.68
11/7/2017,6.9738,80.90566,20.5,49.8,1.94,0.173,2.2,0.2,0.74,0,0
11/12/2017,6.9738,80.90566,43,95.2,3.26,0.487,2.2,0.2,0.74,1,0.99
11/25/2017,6.9738,80.90566,3,8.8,1.43,-0.007,2.2,0.2,0.74,0,0
12/1/2017,6.9738,80.90566,4.8,21.2,2.36,0.14,2.2,0.2,0.74,0,0
5/11/2018,6.9738,80.90566,37.7,111,4.15,0.527,2.2,0.2,0.74,1,1.43
10/5/2018,6.9738,80.90566,10.1,26.8,2.11,-0.051,2.2,0.2,0.74,0,0
12/12/2018,6.9738,80.90566,107.2,258.9,4.71,1.447,2.2,0.2,0.74,1,2.69
12/16/2018,6.9738,80.90566,2,6.2,2.44,-0.198,2.2,0.2,0.74,0,0
12/24/2018,6.9738,80.90566,57.7,180.6,4.82,1.03,2.2,0.2,0.74,1,2.35
10/6/2019,6.9738,80.90566,45,118.7,3.16,0.541,2.2,0.2,0.74,0,0
10/26/2019,6.9738,80.90566,6.9,18.8,2.18,0.252,2.2,0.2,0.74,0,0
10/29/2019,6.9738,80.90566,0,4,2.81,-0.3,2.2,0.2,0.74,0,0
11/29/2019,6.9738,80.90566,0.2,6.4,1.52,-0.245,2.2,0.2,0.74,0,0
11/30/2019,6.9738,80.90566,39.2,87.1,2.2,0.383,2.2,0.2,0.74,0,0
10/4/2020,6.9738,80.90566,34,77.2,3,0.438,2.2,0.2,0.74,0,0
11/2/2020,6.9738,80.90566,59.6,134.6,3.34,0.704,2.2,0.2,0.74,1,1.56
12/12/2020,6.9738,80.90566,0.7,4.7,2.18,0.096,2.2,0.2,0.74,0,0
5/9/2021,6.9738,80.90566,121.2,353.3,6.55,1.93,2.2,0.2,0.74,1,3.54
10/2/2021,6.9738,80.90566,56.5,119.5,3.46,0.557,2.2,0.2,0.74,0,0
10/26/2021,6.9738,80.90566,9.6,22.9,2.91,-0.089,2.2,0.2,0.74,0,0
12/24/2021,6.9738,80.90566,24.6,50.1,2.55,0.089,2.2,0.2,0.74,0,0
5/28/2022,6.9738,80.90566,0,19.9,2.54,-0.021,2.2,0.2,0.74,0,0
10/3/2022,6.9738,80.90566,2.7,14,2.16,-0.031,2.2,0.2,0.74,0,0
10/19/2022,6.9738,80.90566,0.9,3.6,2.03,0.002,2.2,0.2,0.74,0,0
10/31/2022,6.9738,80.90566,0.1,4.1,2.2,-0.102,2.2,0.2,0.74,0,0
11/1/2022,6.9738,80.90566,5.5,17.6,1.87,-0.176,2.2,0.2,0.74,0,0
11/11/2022,6.9738,80.90566,0.2,3.9,1.44,-0.018,2.2,0.2,0.74,0,0
11/13/2022,6.9738,80.90566,55.9,128.9,3.94,0.458,2.2,0.2,0.74,1,2.24
11/26/2022,6.9738,80.90566,7.1,27.2,2.64,-0.172,2.2,0.2,0.74,0,0
5/15/2023,6.9738,80.90566,2.1,12.1,2.5,0.117,2.2,0.2,0.74,0,0
5/26/2023,6.9738,80.90566,49.2,138.4,3.52,0.713,2.2,0.2,0.74,1,1.68
11/6/2023,6.9738,80.90566,125.3,246.1,5,1.644,2.2,0.2,0.74,1,2.62
11/21/2023,6.9738,80.90566,0.9,16.6,2.16,-0.154,2.2,0.2,0.74,0,0
11/26/2023,6.9738,80.90566,40.1,78.2,2.82,0.208,2.2,0.2,0.74,0,0
5/11/2024,6.9738,80.90566,4.5,12.8,1.46,-0.098,2.2,0.2,0.74,0,0
5/12/2024,6.9738,80.90566,1.4,7.8,2.85,-0.103,2.2,0.2,0.74,0,0
11/8/2024,6.9738,80.90566,7.3,22.9,2.42,0.158,2.2,0.2,0.74,0,0
12/15/2024,6.9738,80.90566,3.4,15.7,2.48,-0.14,2.2,0.2,0.74,0,0
10/9/2016,8.47186,79.90145,110.2,293.7,4.96,1.757,49.5,16.18,0.07,1,2.31
10/21/2016,8.47186,79.90145,0.2,0.9,1.27,-0.287,49.5,16.18,0.07,0,0
11/16/2016,8.47186,79.90145,0.5,7.4,1.53,0.041,49.5,16.18,0.07,0,0
11/19/2016,8.47186,79.90145,10.6,26.4,1.89,0.115,49.5,16.18,0.07,0,0
5/21/2017,8.47186,79.90145,6,19.3,1.92,0.003,49.5,16.18,0.07,0,0
5/30/2017,8.47186,79.90145,7.1,17,1.65,-0.099,49.5,16.18,0.07,0,0
11/4/2017,8.47186,79.90145,1.1,2.5,1.3,-0.283,49.5,16.18,0.07,0,0
11/7/2017,8.47186,79.90145,7.4,21,1.63,0.021,49.5,16.18,0.07,0,0
11/12/2017,8.47186,79.90145,1.1,3.5,1.75,-0.226,49.5,16.18,0.07,0,0
11/25/2017,8.47186,79.90145,2.6,8.6,1.23,0.054,49.5,16.18,0.07,0,0
12/1/2017,8.47186,79.90145,85,261.6,4.97,1.326,49.5,16.18,0.07,1,2.06
5/11/2018,8.47186,79.90145,50.7,132.3,3.56,0.537,49.5,16.18,0.07,0,0
10/5/2018,8.47186,79.90145,0.3,6.6,1.18,-0.254,49.5,16.18,0.07,0,0
12/12/2018,8.47186,79.90145,20.4,53.8,2.3,0.087,49.5,16.18,0.07,0,0
12/16/2018,8.47186,79.90145,6,14.3,1.43,0.134,49.5,16.18,0.07,0,0
12/24/2018,8.47186,79.90145,56.7,127.3,2.34,0.941,49.5,16.18,0.07,0,0
10/6/2019,8.47186,79.90145,1.4,4.4,1.64,0.116,49.5,16.18,0.07,0,0
10/26/2019,8.47186,79.90145,1.2,3.4,1.66,-0.04,49.5,16.18,0.07,0,0
10/29/2019,8.47186,79.90145,0.4,20.3,1.75,-0.19,49.5,16.18,0.07,0,0
11/29/2019,8.47186,79.90145,1.2,6.2,1.89,0.165,49.5,16.18,0.07,0,0
11/30/2019,8.47186,79.90145,0.7,4.9,1.5,-0.328,49.5,16.18,0.07,0,0
10/4/2020,8.47186,79.90145,3.8,16.6,1.56,-0.048,49.5,16.18,0.07,0,0
11/2/2020,8.47186,79.90145,13.3,34.3,2.04,0.076,49.5,16.18,0.07,0,0
12/12/2020,8.47186,79.90145,1.7,10.4,1.72,-0.037,49.5,16.18,0.07,0,0
5/9/2021,8.47186,79.90145,0.3,10.8,1.76,-0.168,49.5,16.18,0.07,0,0
10/2/2021,8.47186,79.90145,1.2,6.8,1.27,-0.097,49.5,16.18,0.07,0,0
10/26/2021,8.47186,79.90145,0.3,3.4,1.49,-0.007,49.5,16.18,0.07,0,0
12/24/2021,8.47186,79.90145,25.1,63.9,2.17,0.185,49.5,16.18,0.07,0,0
5/28/2022,8.47186,79.90145,8.4,18.1,1.81,-0.023,49.5,16.18,0.07,0,0
10/3/2022,8.47186,79.90145,72,164.4,3.57,0.825,49.5,16.18,0.07,0,0
10/19/2022,8.47186,79.90145,10.3,20.6,1.54,0.101,49.5,16.18,0.07,0,0
10/31/2022,8.47186,79.90145,5.7,13.7,1.2,-0.004,49.5,16.18,0.07,0,0
11/1/2022,8.47186,79.90145,49,131,2.83,0.63,49.5,16.18,0.07,0,0
11/11/2022,8.47186,79.90145,148.4,392.3,5.93,2.281,49.5,16.18,0.07,1,3.19
11/13/2022,8.47186,79.90145,0.2,0.6,1.21,0.156,49.5,16.18,0.07,0,0
11/26/2022,8.47186,79.90145,42,96,2.69,0.356,49.5,16.18,0.07,0,0
5/15/2023,8.47186,79.90145,8.5,22.7,1.34,-0.108,49.5,16.18,0.07,0,0
5/26/2023,8.47186,79.90145,1.3,3.7,1.39,-0.084,49.5,16.18,0.07,0,0
11/6/2023,8.47186,79.90145,1,3.4,1.25,-0.019,49.5,16.18,0.07,0,0
11/21/2023,8.47186,79.90145,6.3,13.3,1.15,-0.228,49.5,16.18,0.07,0,0
11/26/2023,8.47186,79.90145,13.7,30.9,2.17,-0.152,49.5,16.18,0.07,0,0
5/11/2024,8.47186,79.90145,0.9,3.3,1.88,-0.524,49.5,16.18,0.07,0,0
5/12/2024,8.47186,79.90145,8.4,29.3,1.53,0.023,49.5,16.18,0.07,0,0
11/8/2024,8.47186,79.90145,2.4,11.3,1.8,-0.059,49.5,16.18,0.07,0,0
12/15/2024,8.47186,79.90145,30.1,61.3,2.44,0.202,49.5,16.18,0.07,0,0
10/9/2016,7.90318,80.04093,5.2,20.1,0.9,0.009,17.8,1.69,5.71,0,0
